Comment,Designator,Footprint,Digikey PN,LCSC
4u7,"C107,C108,C302,C304",Capacitor_SMD:C_1206_3216Metric,,C29823
100n,"C109,C110",Capacitor_SMD:C_0805_2012Metric,,C49678
4.7u,C201,Capacitor_SMD:C_0805_2012Metric,,C215908
1u,"C202,C203",Capacitor_SMD:C_1206_3216Metric,,C1779
1u,C301,Capacitor_SMD:CP_Elec_4x5.3,565-2486-1-ND,
1.8n,C305,Capacitor_SMD:C_0805_2012Metric,,C151869
10u,"C303,C306",Capacitor_SMD:C_1206_3216Metric,445-12902-1-ND,C13585
ZHCS500TA,D201,Package_TO_SOT_SMD:SOT-23,,C211363
SMBJ9,D301,SMBJ90CA:SMB,,C357964
MDD-SS14,"D302,D303",Diode_SMD:D_SMA,SS14CT-ND,
100R,FB301,Ferrite_THT:LairdTech_28C0236-0JW-10,240-2493-ND,
01x04_Pin_Header,J103,Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left,WM14827-ND,
01x05_Pin_Header,J104,Connector_PinHeader_1.00mm:PinHeader_1x07_P1.00mm_Vertical_SMD_Pin1Left,WM14827-ND,
KH-TYPE-C-16P,J301,MOLEX_USB_C:Molex-213716-0001-MFG,900-2137160001CT-ND,C709357
Conn_01x02,J302,Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,455-1657-ND,
47u,L201,Inductor_THT:L_Axial_L14.0mm_D4.5mm_P15.24mm_Horizontal_Fastron_LACC,4161-CTM3F-182J-ND,
3.9u,L301,Inductor_SMD:L_0603_1608Metric,,C393984
NCE4614,Q301,Package_SO:SOP-8_3.9x4.9mm_P1.27mm,,C136092
100K,"R201,R202",Resistor_SMD:R_0805_2012Metric,10-ERA-6APB104VCT-ND,C149504
1K35,R203,Resistor_SMD:R_0805_2012Metric,541-CRCW08051K30FKEACCT-ND,
10K,"R204,R301,R302,R304,R305",Resistor_SMD:R_0805_2012Metric,,C2546745
6K98,R205,Resistor_SMD:R_0805_2012Metric,,C17775
1K,"R206,R209",Resistor_SMD:R_0805_2012Metric,,C17513
226K,"R207,R208",Resistor_SMD:R_0805_2012Metric,,C247039
100R,R210,Resistor_SMD:R_0805_2012Metric,,C17408
9K,R211,Resistor_SMD:R_0805_2012Metric,,C247026
10k,R303,Resistor_SMD:R_0805_2012Metric,,C2546745
30K,R306,Resistor_SMD:R_0805_2012Metric,,C17621
MAX5026EUT+T,U201,MAX5026EUT_T:SOT95P280X145-6N,MAX5026EUT+TCT-ND,C87603
AD8541ARZ,U202,AD8541ARZ:SOIC127P600X175-8N,AD8541ARZ-ND,
OP184FSZ,U203,OP184FSZ:SOIC127P600X175-8N,OP184FSZ-ND,C690879
MCP73832T-2ACI_OT,U301,IC_Microchip_MCP73832T-2ACI_OT:Microchip-C04-091-OT-0-F-MFG,MCP73832T-2ACI/OTCT-ND,C38066
LM2735XMF,U302,Package_TO_SOT_SMD:SOT-23-5,LM2735XMF/NOPBCT-ND,C555454
